uid, ndata, decay, undecay, delete, restore, category_anon, category_reveal
2771, 4, 4171, 3342, 5028, 4026, 1217, 63
2781, 3, 4124, 4573, 6849, 4765, 1729, 811
2791, 2, 3289, 2109, 4259, 2198, 1090, 61
2801, 5, 4925, 5823, 6673, 7017, 1285, 70
2811, 1, 2479, 1279, 3814, 1568, 1081, 53
2821, 4, 4401, 4115, 6096, 5572, 1689, 870
2831, 3, 4039, 3569, 5130, 4377, 1543, 931
2841, 5, 4366, 5773, 6349, 7100, 1781, 873
2851, 7, 5361, 8302, 9494, 10217, 1257, 65
2861, 2, 3568, 2136, 4728, 2856, 1149, 59
2871, 4, 4695, 5017, 6952, 5282, 1824, 894
2881, 7, 5281, 5797, 7192, 7937, 1958, 1588
2891, 4, 4536, 4636, 5706, 5609, 1232, 68
2901, 3, 3451, 3511, 5734, 3752, 1923, 1758
2911, 3, 4178, 3449, 5982, 4765, 1587, 834
2921, 5, 4760, 4346, 5876, 6172, 1143, 67
2931, 2, 3141, 2916, 4908, 3356, 1602, 807
2941, 6, 4759, 5430, 5884, 5603, 2014, 1683
2951, 2, 2999, 2545, 5705, 3020, 1157, 68
2961, 3, 4164, 3055, 5175, 3840, 1161, 67
2971, 4, 3952, 4607, 6230, 4695, 1978, 956
2981, 7, 5241, 5616, 6932, 7872, 1982, 907
2991, 4, 4954, 4537, 7211, 6456, 1104, 59
3001, 5, 4259, 5007, 6220, 6940, 1807, 959
3011, 4, 3981, 4133, 6617, 4816, 1878, 1401
3021, 1, 3178, 1741, 3826, 1826, 989, 58
3031, 3, 3634, 3827, 5144, 4105, 1697, 974
3041, 5, 4288, 4875, 7223, 5960, 1841, 963
3051, 3, 3502, 2895, 4655, 2975, 1661, 999
3061, 6, 5616, 6277, 7549, 7738, 1186, 59
3071, 3, 3605, 3912, 5462, 4087, 1238, 61
3081, 2, 2906, 2127, 4381, 2110, 1176, 67
3091, 7, 5839, 7033, 8836, 8342, 1319, 60
3101, 3, 4065, 3556, 5552, 3761, 1075, 54
3111, 4, 3875, 3739, 5388, 4410, 1928, 1428
3121, 3, 3293, 2787, 4608, 3278, 1067, 57
3131, 1, 2526, 1273, 3450, 1430, 1022, 62
3141, 4, 4071, 5012, 5918, 5363, 1131, 58
3151, 9, 5148, 6309, 6645, 9428, 2105, 2131
3161, 2, 2878, 1900, 3758, 2565, 1659, 861
3171, 2, 3259, 2515, 5391, 2873, 1139, 63
3181, 7, 6720, 8257, 10629, 10091, 2022, 1403
3191, 4, 4906, 5081, 6213, 5451, 1649, 880
3201, 6, 4594, 5159, 7012, 6168, 1179, 65
3211, 2, 3643, 2464, 4735, 3406, 1145, 60
3221, 6, 5008, 5618, 7928, 6618, 1744, 976
3231, 3, 4041, 3087, 4926, 4267, 1199, 63
3241, 5, 4074, 4386, 6260, 6128, 1837, 1461
3251, 6, 6036, 6335, 8067, 8128, 1171, 61
3261, 6, 4359, 6170, 6209, 6503, 1970, 1546
3271, 8, 5874, 8202, 9856, 11720, 1945, 1489
3281, 5, 5091, 4550, 6752, 6485, 1103, 61
3291, 3, 3874, 3515, 4808, 3789, 1170, 65
3301, 8, 5750, 8743, 10695, 10769, 2175, 1600
3311, 8, 6455, 7599, 9604, 9283, 2166, 1677
3321, 4, 4755, 5106, 6276, 6167, 2092, 1491
3331, 4, 4143, 4635, 6531, 4684, 1721, 958
3341, 5, 4901, 4965, 6669, 6105, 1672, 856
3351, 4, 4539, 4190, 5718, 5723, 1104, 71
3361, 5, 4364, 5485, 6088, 5899, 1983, 1686
3371, 6, 4995, 6390, 9143, 6875, 1209, 63
3381, 1, 4011, 2084, 4121, 2203, 1055, 59
3391, 4, 4233, 5046, 6582, 5295, 1185, 62
3401, 3, 4212, 3930, 6173, 4777, 1285, 68
3411, 2, 3737, 2441, 5111, 3319, 1161, 69
3421, 7, 5664, 7031, 7667, 8493, 2059, 1520
3431, 7, 6097, 7919, 8795, 8186, 2204, 1893
3441, 5, 5237, 5203, 6797, 6545, 1206, 60
3451, 3, 3876, 3134, 5880, 4410, 1747, 966
3461, 6, 5402, 5481, 7678, 6727, 1805, 953
3471, 2, 3421, 2501, 4758, 2900, 1601, 993
3481, 5, 4871, 5415, 6210, 6629, 2141, 1620
3491, 4, 3607, 3897, 5575, 4670, 1200, 72
3501, 6, 4987, 5000, 7121, 5950, 1289, 64
3511, 2, 3905, 3153, 5252, 3844, 1698, 936
3521, 2, 3545, 2841, 5784, 3349, 1825, 1462
3531, 5, 4908, 5717, 6156, 6123, 1914, 905
3541, 8, 5352, 8480, 8869, 8888, 1893, 884
3551, 2, 3753, 2841, 5290, 3082, 1042, 57
3561, 2, 3527, 2208, 4489, 2592, 1039, 57
3571, 2, 3154, 2459, 4056, 2663, 1078, 60
3581, 6, 4812, 5921, 7404, 7061, 1220, 69
3591, 2, 2962, 2366, 4310, 2916, 1026, 61
3601, 9, 5722, 7962, 8195, 11075, 2002, 1106
3611, 1, 3062, 2124, 5020, 2617, 934, 64
3621, 5, 5052, 5357, 6113, 6573, 1224, 61
3631, 6, 4624, 5428, 7367, 6615, 2021, 1440
3641, 2, 3922, 3223, 5104, 3794, 1110, 65
