uid, ndata, decay, undecay, delete, restore, category_anon, category_reveal
5351, 1, 5116, 11626, 6305, 12043, 1806, 9143
5361, 4, 7848, 15739, 10613, 17102, 2088, 8968
5371, 3, 7010, 14446, 9712, 15594, 3362, 11177
5381, 2, 6699, 13910, 10128, 14955, 3757, 11847
5391, 4, 8126, 16046, 11080, 17346, 3406, 11011
5401, 8, 11857, 22618, 17641, 28232, 4048, 11671
5411, 8, 10180, 19594, 12417, 21262, 4412, 11057
5421, 2, 6438, 13857, 8921, 14249, 3417, 10649
5431, 2, 6407, 13254, 9640, 17646, 2063, 9045
5441, 3, 7765, 14306, 8641, 14722, 3647, 11058
5451, 7, 10849, 20624, 16112, 23260, 3799, 10952
5461, 3, 6923, 14146, 9403, 14991, 2158, 9211
5471, 1, 5446, 11613, 7264, 12911, 1831, 9424
5481, 3, 7461, 14857, 9793, 15787, 2132, 8718
5491, 1, 4881, 11348, 6504, 11981, 1826, 8988
5501, 4, 8019, 15937, 11862, 17495, 3561, 10776
5511, 3, 6897, 15190, 11044, 16580, 4286, 13270
5521, 6, 8544, 17039, 11603, 18432, 3918, 10647
5531, 7, 9424, 18290, 13236, 20999, 4293, 12198
5541, 6, 9330, 18236, 13496, 21178, 2040, 9131
5551, 6, 11054, 18642, 13991, 21311, 3901, 10762
5561, 3, 7622, 16191, 11970, 17071, 2056, 8763
5571, 6, 7890, 16215, 10696, 19055, 4538, 13478
5581, 3, 7246, 14664, 9624, 15067, 1886, 8939
5591, 3, 6589, 13678, 8462, 13946, 3650, 10859
5601, 5, 7891, 16199, 13323, 17965, 3370, 11989
5611, 3, 7868, 15924, 10802, 16463, 3477, 11094
5621, 3, 6630, 14566, 9583, 15451, 2053, 8717
5631, 5, 8396, 16230, 10639, 18610, 3751, 11466
5641, 2, 6117, 12891, 9047, 14044, 1805, 8958
5651, 2, 6009, 13531, 7283, 14370, 3448, 11392
5661, 7, 11040, 20903, 16276, 23050, 2230, 9186
5671, 0, 4351, 9929, 4557, 10482, 1741, 8449
5681, 6, 9861, 18599, 14528, 21367, 3908, 11041
5691, 6, 9590, 19266, 14611, 28012, 2081, 8632
5701, 5, 8101, 16831, 12652, 18534, 3541, 10946
5711, 1, 5041, 11541, 6207, 11570, 2997, 10874
